StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,solv_dip,LsoluHsolv,LsolvHsolu,DeltaG_sol,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,,,,,,,,,,,,,,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
AMBQHHVBBHTQBF-UOUCRYGSSA-N,[H][C@]12C[C@H](O)[C@H](C)[C@@]1([H])[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)OC=C2C(=O)OC,Train,-2.318227789,390.387,222.5,253.271,-1415.350715,4.0326,0.2163,0.218,-0.026111,624.2459717,-6.96765,-0.73032,-0.80632,0.80891,-6.96765,,,,,,,,,,,,,,53,14815,18652,28082,0.496311247,0.643670843,0.748527477,14,-17.00434793,-257.5674708,240.5631229,2318,0.035195291,0.01699186
ANGUXJDGJCHGOG-UHFFFAOYSA-N,CC1=NC2=CC=CC(N3CCN(CCC4=CC(=CC=C4)N4CCNC4=O)CC3)=C2C=C1,Train,-2.016550754,415.538,167,288.309,-1318.750439,5.1667,0.2027,0.18517,-0.02035,735.9269409,-0.70425,-3.85827,-0.71625,0.82581,-3.47509,,,,,,,,,,,,,,60,15738.5,30534,32100,0.386292835,0.465436917,0.805194866,7,99.34048208,-278.9654843,378.3059663,11251,0.033376635,0.011167078
AOZXETLGPZAZNK-UHFFFAOYSA-N,CCOC1=C(C=C(C=C1N(=O)=O)N(=O)=O)N(=O)=O,Test,-1.436150825,257.159,78.5,145.783,-999.496669,3.4779,0.1167,0.29037,-0.016872,418.7200928,-2.81168,-0.56613,-0.71515,0.5061,-1.29419,,,,,,,,,,,,,,25,10305.5,11649,19580.5,0.420062083,0.538676479,0.875164032,6,188.9680122,-121.0689963,310.0370086,7332,0.041868684,0.011519737
APZGKGHAXUURNO-UHFFFAOYSA-N,CC12SC3(C)SC(C)(S1)SC(C)(S2)S3,Test,-0.459237338,300.579,232,242.642,-2701.065342,0.0059,0.2271,0.20048,-0.009032,418.4409485,0,-5.11288,-0.71798,0.30825,1.84892,,,,,,,,,,,,,,26,14597.5,14604.5,14847,0.892817111,0.896151456,0.985765144,16,-53.1800309,-114.5260805,61.34604961,1130,-0.029996219,0.006200066
ASDLSKCKYGVMAI-UHFFFAOYSA-N,OC(=O)C1=CC=C2C(=O)C3=C(C=CC=C3)C(=O)C2=C1,Test,-1.963880817,252.226,290,164.327,-877.243228,2.8305,0.1317,0.24943,-0.013971,431.8938293,-2.49987,0.06306,-0.71696,0.81409,-2.49987,,,,,,,,,,,,,,27,7412,12522.5,22099,0.274336283,0.449275362,0.612998529,10,5.514766865,-169.9500995,175.4648664,2570,0.032508269,0.007203346
ASWVTGNCAZCNNR-UHFFFAOYSA-N,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1,Train,-3.605907144,278.335,196.75,193.893,-1233.156278,9.3285,0.21169,0.20155,-0.020558,500.074585,-1.93409,-1.79514,-0.9776,2.3299,-2.43064,,,,,,,,,,,,,,33,13114,17990,20157,0.552554881,0.678518231,0.955280709,7,-71.91926157,-314.6090413,242.6897798,6250,-0.050242079,0.02069727
AUHHYELHRWCWEZ-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)=C(Cl)C2=C1C(=O)OC2=O,Train,-1.069979767,285.898,254.95,123.973,-2371.309158,5.2101,0.1264,0.26711,-0.010961,376.2602844,-1.60644,1.20014,-0.54554,0.82343,-1.19937,,,,,,,,,,,,,,15,8526.5,9004,17946,0.400858856,0.415584448,0.987179487,7,63.87124307,-127.4652485,191.3364916,3400,-0.037489779,0.008595347
AVCSMMMOCOTIHF-UHFFFAOYSA-N,O=N(=O)C1=CC=CC2=CC=CC(=C12)N(=O)=O,Train,-0.598639258,218.169,171,151.574,-794.806246,12.0003,0.14247,0.24146,-0.016046,372.9499207,-1.58239,-1.0735,-0.40523,0.50469,-0.57302,,,,,,,,,,,,,,22,9330,9367,17313.5,0.581017828,0.641946466,0.965986387,2,37.45743425,-303.2597707,340.7172049,8063,0.042256878,0.014804457
AVDDMQBDJTYCIR-UHFFFAOYSA-N,O=C(NC1=CC=C(NC(=O)C2=CN=CC=N2)C=C1)C1=CN=CC=N1,Train,-3.505570497,320.31,364.5,220.355,-1095.749038,10.6309,0.16586,0.19113,-0.018248,559.9033813,-1.32307,0.76506,-0.66155,0.65419,-4.2843,,,,,,,,,,,,,,36,6462,17683.5,28737.5,0.198083081,0.382636656,0.512195122,6,46.45067204,-264.3943241,310.8449962,4775,-0.042730516,0.016355409
AVSXSVCZWQODGV-DPAQBDIFSA-N,[H][C@@](C)(CC\C=C(/C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,Train,-0.826522497,384.646,120.75,361.402,-1130.021576,2.3005,0.25355,0.2049,-0.00844,696.8135986,-0.80228,-9.9648,-0.80228,0.50818,-0.80228,,,,,,,,,,,,,,72,11719,28252.5,31678.5,0.342016328,0.399604088,0.822922085,4,-29.39404292,-67.92319989,38.52915697,1338,-0.044163656,0.013629165
BBEAQIROQSPTKN-UHFFFAOYSA-N,C1=CC2=C3C(C=CC4=C3C(C=C2)=CC=C4)=C1,Test,-0.420205667,202.255,150.2,177.352,-615.62541,0,0.19183,0.17786,-0.005163,390.4749451,0,-2.51369,-0.24358,0.25406,0,,,,,,,,,,,,,,26,8117.5,10234,19733,0.331550802,0.417218543,0.910971385,4,0.944854114,-83.93301198,84.87786609,1906,-0.022734561,0.001236863
BBUVDDPUURMFOX-SAABIXHNSA-N,C[C@H]1CC[C@@H](CC1)N1C2=NC(NC3=NC4=C(CN(CC4)C(=O)CO)C=C3)=NC=C2C2=C1C=NC=C2,Train,-2.673538801,471.562,214,346.818,-1541.601009,11.0073,0.19362,0.19285,-0.031516,784.4058228,-1.46467,-2.64019,-0.78075,0.67845,-5.04113,,,,,,,,,,,,,,64,17232.5,24004.5,37305.5,0.368409998,0.537735849,0.691433647,8,85.11877963,-357.6742262,442.7930059,6803,0.045798667,0.014902943
BDDYZHKLKHFEBJ-UHFFFAOYSA-N,O=C(OCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,Test,-0.25853527,256.258,99.25,199.767,-879.600596,1.9447,0.19163,0.24284,-0.010042,495.1763,-2.39039,-0.71424,-0.62807,0.82397,-2.39039,,,,,,,,,,,,,,31,11614,15278.5,21196.5,0.514013457,0.522031043,0.991935484,5,-14.69779255,-149.0843872,134.3865947,2082,0.027713834,0.004095685
BEJNERDRQOWKJM-UHFFFAOYSA-N,OCC1=CC(=O)C(O)=CO1,Train,-2.84400061,142.111,152,87.082,-533.049489,8.0766,0.19845,0.21749,-0.022283,308.8336792,-2.60396,0.55421,-0.79287,0.52857,-2.60396,,,,,,,,,,,,,,16,6852.5,9299.5,12988,0.51572327,0.721115624,0.782981995,3,38.99948813,-230.628372,269.6278602,5352,0.050378898,0.021608067
BEKZHETVNVFYCV-UHFFFAOYSA-N,O=N(=O)C1=CC2=C(C(=CC=C2)N(=O)=O)C(=C1)N(=O)=O,Train,-1.021978059,263.166,218,140.986,-999.314798,10.5112,0.11498,0.2636,-0.019393,409.6749878,-2.31216,-0.6471,-0.39869,0.50661,-0.79654,,,,,,,,,,,,,,24,9970,11394.5,19608,0.489694951,0.565843641,0.817733632,3,151.0232852,-276.563193,427.5864783,8501,0.050298374,0.016228212
BEQVQKJCLJBTKZ-UHFFFAOYSA-N,OP(=O)(C1=CC=CC=C1)C1=CC=CC=C1,Train,-2.036797563,218.192,192.25,139.671,-955.630028,5.6422,0.20447,0.23459,-0.013924,421.252533,-2.16733,-3.19791,-1.13109,2.22337,0.05604,,,,,,,,,,,,,,26,10652.5,14718.5,16133,0.619808752,0.647702641,0.947061349,2,2.081234008,-178.8002053,180.8814393,5604,0.032277202,0.013185322
BGNQYGRXEXDAIQ-UHFFFAOYSA-N,CCOC(=O)C1=C(N(C)N=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1,Test,-1.116359437,414.399,181.5,282.075,-1797.325555,6.9376,0.19618,0.22186,-0.028718,675.3292847,-4.71917,0.69504,-0.94016,2.33849,-5.59463,,,,,,,,,,,,,,46,18094,22578,27451.5,0.52066991,0.701796973,0.726181057,10,-63.44542565,-410.4305643,346.9851387,7765,-0.050609661,0.020049862
BGRJTUBHPOOWDU-UHFFFAOYSA-N,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,Train,-1.547708045,341.431,177.6,222.473,-1448.451864,4.4325,0.20973,0.1893,-0.025611,588.9505615,-3.15726,-3.01806,-1.11969,2.29235,-3.1854,,,,,,,,,,,,,,46,14736,18390.5,26336.5,0.470129524,0.588051564,0.822766324,6,-22.68641599,-336.7702562,314.0838402,8081,0.038426691,0.014237081
BHXIVVULYOMXPF-UHFFFAOYSA-N,CCC(=O)N(C(=O)NC1=CC=C(C=C1)N(C)C)C1=CC=C(C=C1)N(C)C,Train,-2.292959938,354.452,161.75,287.484,-1146.943094,3.6758,0.23719,0.15205,-0.016443,662.8829956,-1.34632,-3.12537,-0.68828,0.83619,-3.48719,,,,,,,,,,,,,,52,14304.5,22026,28941.5,0.378006873,0.63280395,0.716846773,9,-173.3237132,-333.5768095,160.2530964,6293,-0.04407581,0.018582682
BKYWPNROPGQIFZ-UHFFFAOYSA-N,CC1=CC=C(C(O)=O)C(C)=C1,Train,-0.085996242,150.177,125.5,128.26,-499.350075,3.175,0.20024,0.22731,-0.00709,342.8161011,-1.38167,-1.44432,-0.73269,0.80938,-1.38167,,,,,,,,,,,,,,21,7521.5,9775,15248.5,0.448484848,0.557251908,0.801346843,5,15.48965316,-77.88264656,93.37229972,1659,0.024634583,0.002967055
BLSVCHHBHKGCSQ-UHFFFAOYSA-N,CC1=CC=CC=C1NC(N)=O,Train,-1.55336281,150.18,193.75,124.748,-495.528699,6.1305,0.23752,0.19492,-0.014351,343.9192505,-0.71429,-0.84187,-0.89615,0.80792,-2.25779,,,,,,,,,,,,,,21,7813,9446.5,15610.5,0.430232558,0.528985507,0.974739958,2,32.89742902,-174.7748246,207.6722536,4695,0.044232642,0.022678457
BLUAFEHZUWYNDE-NNWCWBAJSA-N,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(OC(=O)[C@@H]2C)O4,Test,-0.940910623,282.337,153.5,192.545,-960.602472,7.9066,0.23633,0.22625,-0.015017,460.9798584,-2.4326,-3.18084,-0.69784,0.85485,-2.4326,,,,,,,,,,,,,,42,13244,14290.5,19868,0.579609488,0.601314779,0.902333223,2,36.40954303,-249.833793,286.243336,9849,0.029063188,0.005356405
BMEMSZNEGPFYMC-KNVOCYPGSA-N,C[C@H]1CC[C@H](CC1)C(N)=O,Train,-0.902822505,141.213,163,120.159,-443.728623,5.1266,0.2445,0.22808,-0.01015,338.3135986,-0.69657,-2.47374,-0.86414,0.68922,-1.56071,,,,,,,,,,,,,,25,9080.5,11721.5,13185.5,0.667597575,0.714863492,0.976958575,2,18.17415891,-120.8898674,139.0640263,3457,0.040226794,0.018239528
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,ClC1=CC=CC2=C1C(=O)C1=CC=CC=C1C2=O,Train,-1.143884926,242.661,162,154.158,-1148.266274,1.8954,0.13786,0.23794,-0.010343,405.3682251,-1.14681,-0.76712,-0.57972,0.56573,-1.11179,,,,,,,,,,,,,,24,7591,10641,20397.5,0.324742268,0.446808511,0.695518197,6,5.129869469,-140.9062933,146.0361628,2254,0.031098623,0.00647468
BOFXVYGDIRCHEQ-FPYZNPETSA-N,CO[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,Train,-1.540262719,208.168,111,147.988,-800.390341,3.4543,0.23943,0.25302,-0.02176,378.129303,-4.94223,0.91507,-0.80086,0.82526,-4.94223,,,,,,,,,,,,,,26,10899,11803,15042.5,0.56147199,0.632653061,0.906560904,6,2.049543362,-224.6753619,226.7249053,4893,0.036562625,0.018661875
BOJKULTULYSRAS-NXIQKPQYSA-N,[H][C@]12CCC(=C)[C@@H](C\C=C3/C(O)COC3=O)[C@]1(C)CC[C@@H](O)[C@@]2(C)CO,Train,-1.886057124,350.455,225.25,291.346,-1155.89816,5.9393,0.1957,0.23015,-0.02577,577.8363647,-3.61414,-4.5114,-0.81694,0.8071,-3.61414,,,,,,,,,,,,,,55,13333.5,22031,24651,0.477787706,0.607973456,0.798668849,6,147.2486688,-284.6856814,431.9343502,10632,0.039526197,0.017691733
BQJCRHHNABKAKU-KBQPJGBKSA-N,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,Train,-2.348157253,285.343,253,229.059,-939.369298,5.5428,0.2431,0.1781,-0.014271,467.5106812,-2.06476,-2.61184,-0.78577,0.52736,-2.62443,,,,,,,,,,,,,,40,13839,16619,19293,0.68623974,0.836525503,0.890933933,5,-48.76082809,-204.6112956,155.8504675,5589,-0.034954737,0.021532313
BQSJTQLCZDPROO-UHFFFAOYSA-N,CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N,Train,-0.998411194,316.381,206.5,226.55,-1352.528267,5.6877,0.16516,0.21041,-0.016225,573.5873413,-1.89104,-2.03857,-0.72611,0.78701,-2.26695,,,,,,,,,,,,,,38,10570,17639,27601,0.346715328,0.52909444,0.601820854,8,43.54958513,-199.2266199,242.776205,4786,0.035807229,0.010427264
BRVGOAJFDSDGKU-UHFFFAOYSA-N,NC(=O)OCC1=CC(=NO1)C1=CC=C(OCC2=CC=CC=C2)C=C1,Train,-1.116543475,324.336,167.52,191.049,-1105.722051,5.6985,0.20967,0.19927,-0.019374,610.0877075,-2.14926,-1.25626,-0.87857,0.91853,-3.20703,,,,,,,,,,,,,,40,8748,25106.5,25932.5,0.325771794,0.330707703,0.912294974,5,53.17096195,-249.0183336,302.1892956,6989,0.031837538,0.008493251
BSYNRYMUTXBXSQ-UHFFFAOYSA-N,CC(=O)OC1=CC=CC=C1C(O)=O,Train,0.075176197,180.16,134.8,137.763,-648.616971,3.3194,0.18767,0.23928,-0.012553,362.0077515,-2.53306,0.11018,-0.78132,0.84236,-2.53306,,,,,,,,,,,,,,21,9038,10917.5,15806,0.518967804,0.658383774,0.986262589,4,-36.70693873,-167.4499792,130.7430405,3621,-0.046244126,0.015370081
BTPSLIHHXNBZBL-UHFFFAOYSA-N,O=C(NC1=CN=C(NC(=O)C2=CC=CC=C2)C=N1)C1=CC=CC=C1,Train,-2.900824399,318.335,284.5,190.529,-1063.646226,5.687,0.18764,0.21123,-0.025495,587.6005249,-1.28342,-0.53536,-0.65297,0.69303,-3.45268,,,,,,,,,,,,,,38,9722,23723,25692,0.34698643,0.351265823,0.935869258,5,2.12651993,-338.4871754,340.6136953,4542,0.038729121,0.017057573
BTTNOGHPGJANSW-IBGZPJMESA-N,CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C(F)=C1)C1=CC=C(CNCC2=CN=NN2)C=C1,Train,-2.64193097,438.461,208.4,316.695,-1505.932559,10.5202,0.20664,0.20236,-0.034765,757.2384033,-1.93133,-1.53682,-0.76824,0.95153,-4.93848,,,,,,,,,,,,,,55,11664.5,31117.5,33962.5,0.294335533,0.326398733,0.841253568,5,234.3034058,-405.9694165,640.2728223,15270,0.041930113,0.016689664
BTTRMCQEPDPCPA-UHFFFAOYSA-N,ClC1=CC2=C(C=C1)C(=O)OC2=O,Train,0.588575421,182.563,96.25,144.409,-992.518688,6.2858,0.13939,0.26925,-0.011457,327.3143311,-1.65312,0.76745,-0.55577,0.82251,-1.61937,,,,,,,,,,,,,,15,7109,8911.5,14745,0.391304348,0.474074074,0.803863083,3,103.4934276,-148.2043847,251.6978123,6773,0.036331177,0.010320419
BUUKOGVOXWQHJF-UHFFFAOYSA-N,CCCCCCCCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCCCCCCCC)C=C12,Train,-2.045757491,498.66,85,517.55,-1619.37845,4.963,0.20379,0.1891,-0.012702,972.8627319,-3.36675,-6.807,-0.74222,0.85289,-3.36675,,,,,,,,,,,,,,78,16094.5,37289,44082.5,0.233005617,0.38829711,0.589370863,9,-85.90259799,-175.9867415,90.0841435,2443,-0.03726838,0.014387466
CAQHPYSDQFDJAL-UHFFFAOYSA-N,ON=C1C(=O)C=CC2=C1C=CC=C2,Train,-0.244127212,173.171,109.5,111.579,-590.325962,5.5058,0.14927,0.21585,-0.01056,347.7774963,-1.11474,-0.88608,-0.57939,0.53158,-1.20063,,,,,,,,,,,,,,20,7055,8940,16559.5,0.375757599,0.459259259,0.795353875,3,13.20143369,-146.7419345,159.9433682,3781,0.031862264,0.007127662
CAYMSCGTKZIVTN-IQUTYRLHSA-N,[H][C@@]12COC(=O)[C@@]1([H])CC1=CC(OC)=C(O)C=C1[C@H]2C1=CC=C(O)C(OC)=C1,Test,-0.949847239,356.375,252.5,271.762,-1225.249382,5.206,0.23624,0.18899,-0.02115,590.960144,-3.76718,-1.76009,-0.72752,0.84542,-3.76718,,,,,,,,,,,,,,46,15387.5,20183,25602.5,0.533168594,0.71191725,0.975423626,6,130.1541395,-254.7726706,384.9268101,6811,0.034427415,0.009059877
CBPNZQROAXOWJC-RVDMUPIBSA-N,COC1=CC=C(C=C1)C(=O)C(\CC(O)=O)=C\C1=CC=CC=C1,Train,0.042893053,296.323,124,236.297,-996.241185,6.1962,0.18489,0.20975,-0.017845,546.7330322,-2.50474,-1.85769,-0.72099,0.83463,-2.50474,,,,,,,,,,,,,,38,13478.5,21310.5,22852.5,0.480508798,0.589672765,0.897727241,7,30.2143242,-223.922278,254.1366022,4999,0.034402194,0.007681249
CBQJSKKFNMDLON-JTQLQIEISA-N,[H][C@@](CC1=CC=CC=C1)(NC(C)=O)C(O)=O,Train,-0.69945019,207.229,171,143.805,-707.322245,5.0505,0.22654,0.22353,-0.016319,433.0718689,-2.05358,-1.15023,-0.76818,0.82855,-2.70448,,,,,,,,,,,,,,28,11870,14733,16212.5,0.627365554,0.785924305,0.795597423,4,30.78650383,-197.596362,228.3828658,6413,0.035526948,0.016499831
CCORPVHYPHHRKB-NXUCFJMCSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CC,Train,-1.284407192,442.726,98.7,415.045,-1323.153594,3.0326,0.25219,0.20941,-0.007813,801.8148193,-1.21761,-10.78374,-0.69212,0.83646,-1.21761,,,,,,,,,,,,,,82,11973.5,33316,36925.5,0.291173714,0.330756444,0.854828691,6,-82.19623867,-95.50268644,13.30644777,1733,-0.04920971,0.015742771
CFKGXXNWAGBBFU-UHFFFAOYSA-N,CCOC(=O)C1=C(C)OC2=CC3=C(OC(C)=C3C(=O)OCC)C=C12,Train,-2.267606191,330.337,184,235.231,-1147.920675,0.0001,0.20237,0.19124,-0.012615,591.4136963,-3.37789,-1.22934,-0.7424,0.85301,-3.37789,,,,,,,,,,,,,,42,11898,15133,28343.5,0.32034632,0.420454545,0.742712704,16,-53.21235354,-136.0489765,82.83662294,1454,-0.043737475,0.011669873
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,Train,-2.364156497,176.126,190.5,116.371,-684.696753,3.5975,0.21167,0.2199,-0.02146,341.325592,-4.18341,1.08885,-0.79651,0.75119,-4.18341,,,,,,,,,,,,,,20,8508,11414,14133,0.608790003,0.71625125,0.809045282,5,59.34085976,-193.8249663,253.1658261,4943,0.045140155,0.019009689
CJTKTAPIDVKQNY-UHFFFAOYSA-N,COC1=C(OC(C)C)C=CC(=C1)C(=O)N1CCC2(CC1)N(C)CCN1C(=CC=C21)C(F)(F)F,Train,0.031035392,465.516,111.5,316.857,-1621.673786,7.4584,0.2257,0.18799,-0.019956,735.0432739,-1.78888,-3.11707,-0.70995,1.07416,-4.29797,,,,,,,,,,,,,,63,17818,27245,32040.5,0.454737357,0.545955037,0.951342286,8,48.97321758,-299.1391651,348.1123827,10576,0.03118222,0.006157471
CKDZWMVGDHGMFR-GTPODGLVSA-N,[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCC,Train,-1.297953573,456.753,98.6,352.31,-1362.441935,2.9145,0.25243,0.20928,-0.008022,832.7808228,-1.21743,-11.24555,-0.68983,0.84004,-1.21743,,,,,,,,,,,,,,85,11830.5,33780.5,39797.5,0.27510369,0.317231001,0.837249834,6,-81.96790519,-94.29652061,12.32861542,1743,-0.048359091,0.015643262
CMIBUZBMZCBCAT-HZPDHXFCSA-N,[H][C@](OC(=O)C1=CC=C(C)C=C1)(C(O)=O)[C@@]([H])(OC(=O)C1=CC=C(C)C=C1)C(O)=O,Train,0.006849752,386.358,172.5,292.737,-1374.612632,3.5425,0.19622,0.23345,-0.022569,654.8171387,-5.02236,-0.28188,-0.71498,0.82585,-5.02236,,,,,,,,,,,,,,46,17598,22601,28053.5,0.560000069,0.651999958,0.884146341,10,-98.65317787,-328.9617403,230.3085624,7772,-0.042326523,0.01353574
CMWTZPSULFXXJA-VIFPVBQESA-N,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,Train,-1.42044563,230.263,155,179.72,-767.445002,4.4536,0.2073,0.18394,-0.012203,457.1798096,-1.91639,-1.83278,-0.72064,0.83782,-1.91639,,,,,,,,,,,,,,31,9915,16505,19420.5,0.536541766,0.546560946,0.968500093,5,3.762745318,-153.2330791,156.9958244,4215,0.028998257,0.004944595
COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(CC1=CC=CC=C1)C(O)=O,Train,-2.733689172,165.192,269.5,121.737,-554.676974,1.8215,0.23338,0.21891,-0.012274,368.5539246,-1.37186,-1.09051,-0.92079,0.81591,-2.29265,,,,,,,,,,,,,,23,8308.5,11997.5,15646.5,0.531106402,0.594245219,0.849125082,8,-1.660419471,-126.4665828,124.8061634,2628,0.038125142,0.020151521
