StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,DeltaG_sol,solv_dip,LsoluHsolv,LsolvHsolu,SASA,O_charges,C_charges,Most_neg,Most_pos,Het_charges,,,,,,,,,,,,,,N_atoms,Area1,Area2,Area3,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std
AMRQXHFXNZFDCH-UHFFFAOYSA-N,CCNC(=O)C(C)OC(=O)Nc1ccccc1,Test,-1.83,236.27,119,158.794,-801.955526,-0.014953,4.2351,0.29101,0.26279,484.9683228,-1.96916,-1.20178,-0.70903,0.94647,-3.25671,,,,,,,,,,,,,,33,21744,31620.5,40251,0.489473662,0.551213703,0.860797941,5,11.03975578,-138.3920388,149.4317946,2848,0.035304673,0.015674043
ANJTVLIZGCUXLD-UHFFFAOYSA-N,c1cc2C3CC(CNC3)Cn2c(=O)c1,Train,0.36,190.2444,155,159.491,-612.156829,-0.015527,7.4772,0.27566,0.23822,372.1828003,-0.73232,-1.88002,-0.73232,0.61383,-1.87584,,,,,,,,,,,,,,28,19375.5,22439,30412.5,0.703319449,0.769790075,0.916109314,3,73.19520481,-183.0219272,256.217132,7151,0.035829553,0.009603652
APTGDJCKNMNFID-UHFFFAOYSA-N,C1c2cc(sc2S(=O)(=O)CC1O)S(=O)(=O)N,Train,-1.539,283.3318,174,174.328,-1897.369616,-0.026842,6.027,0.23063,0.30663,426.3872681,-4.63938,-2.48361,-1.11835,2.30964,-0.69113,,,,,,,,,,,,,,25,19785.5,26936.5,33356.5,0.54804091,0.706535622,0.892302923,4,144.3798909,-261.2062784,405.5861693,7950,0.051017128,0.01743028
AQCHWTWZEMGIFD-UHFFFAOYSA-N,Cc1ccccc1N1C(C)Nc2cc(c(cc2C1=O)S(=O)(=O)N)Cl,Test,-3.78,365.8337,256,252.408,-1867.413716,-0.026365,12.9006,0.25093,0.26793,560.8483887,-2.62079,-2.2107,-1.1218,2.30194,-2.51864,,,,,,,,,,,,,,40,24612.5,39070.5,47026.5,0.481459784,0.564746842,0.919130351,3,34.4848535,-396.869941,431.3547945,8413,0.043053133,0.021291946
AQIXAKUUQRKLND-UHFFFAOYSA-N,Cc1c(CSCCN/C(=N/C)/NC#N)nc[nH]1,Train,-1.40229,252.3366,141.5,164.954,-1117.197313,-0.026511,4.3285,0.29441,0.24528,521.8492432,0,-1.29718,-0.71806,0.60541,-3.37648,,,,,,,,,,,,,,33,20457,34798,42576.5,0.426581386,0.510362575,0.895454578,5,7.323786256,-323.4483598,330.7721461,4627,-0.045894956,0.016780085
AQIXEPGDORPWBJ-UHFFFAOYSA-N,CCC(CC)O,Train,-0.24,88.1492,-69.075,98.286,-272.86613,-0.005641,2.3017,0.32078,0.29889,285.1423645,-0.81195,-2.2963,-0.81195,0.50875,-0.81195,,,,,,,,,,,,,,18,11939.5,19674.5,21455,0.585714286,0.691089247,0.932917319,3,-8.782312789,-54.4988994,45.71658661,1336,0.031963492,0.014092515
ARCGXLSVLAOJQL-UHFFFAOYSA-N,c1cc(c(cc1C(=O)O)C(=O)O)C(=O)O,Test,-0.397,210.1428,231,132.038,-797.89238,-0.026824,5.6869,0.19662,0.32625,367.5466919,-3.99,1.53864,-0.71834,0.84134,-3.99,,,,,,,,,,,,,,21,16520,20460,32825.5,0.476506205,0.578635568,0.828848246,4,188.190004,-223.5489447,411.7389487,7419,0.055497904,0.026463096
ARGDYOIRHYLIMT-UHFFFAOYSA-N,Cc1ccc(cc1)S(=O)(=O)N(Cl)Cl,Train,-3.509,240.1038,82,154.307,-1794.524362,-0.010677,8.0259,0.21154,0.30491,393.8843079,-1.82781,-1.90355,-0.91435,2.24726,0.03484,,,,,,,,,,,,,,20,18170.5,29294,30046.5,0.559865282,0.646485615,0.99073568,4,37.37037201,-191.2829447,228.6533167,6209,0.03581152,0.007523793
AUNGANRZJHBGPY-UHFFFAOYSA-N,Cc1cc2c(cc1C)n(CC(C(C(CO)O)O)O)c1c(c(=O)[nH]c(=O)n1)n2,Train,-3.68,376.3682,290,225.934,-1329.990452,-0.032527,11.4633,0.19394,0.27638,598.2529907,-4.52739,0.1427,-0.82502,0.81015,-6.52439,,,,,,,,,,,,,,47,29207,33948,55382,0.515243136,0.577592173,0.972228466,8,203.2532251,-357.9950287,561.2482538,11335,0.040437495,0.011172156
AVQQQNCBBIEMEU-UHFFFAOYSA-N,CN(C)C(=O)N(C)C,Train,0.94,116.1626,-1,94.676,-382.372214,-0.009835,5.2603,0.31899,0.26108,310.6023865,-0.7369,-1.06616,-0.7369,0.83077,-1.8022,,,,,,,,,,,,,,20,15021.5,19322.5,22998.5,0.615583022,0.785582346,0.807995755,2,0.650307004,-135.0145057,135.6648127,4969,0.027302236,0.003787634
AVZVLGDSSQKRGL-UHFFFAOYSA-N,c1ccc(cc1)C(=O)OCC(=O)N1CCOCC1,Train,-1.773,249.2658,103.5,189.941,-859.898902,-0.018307,4.1655,0.26264,0.27661,479.6381226,-2.48603,-0.82858,-0.68649,0.82515,-2.97951,,,,,,,,,,,,,,33,18015.5,35149.5,37843,0.462928555,0.482786526,0.966781348,4,-31.80450574,-261.6014243,229.7969186,5269,0.035710246,0.011323689
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1ccc(cc1)C1CO1,Train,-1.6,120.1506,-37,118.021,-384.761515,-0.006415,2.6171,0.29533,0.27453,303.1288757,-0.58164,-1.38709,-0.58164,0.25364,-0.58164,,,,,,,,,,,,,,17,13256.5,17977.5,24688,0.535318286,0.712151822,0.714755765,3,3.402133248,-85.4076428,88.80977605,3473,0.025571487,0.003529519
AYFVYJQAPQTCCC-UHFFFAOYSA-N,O=C(O)C(N)C(O)C,Train,-0.09,119.12,244,96.62,-438.197785,-0.017725,5.9674,0.30085,0.28965,283.2250671,-2.1952,-0.05648,-0.92194,0.80988,-3.11714,,,,,,,,,,,,,,17,14448.5,17195.5,21820,0.707164203,0.777924733,0.923640369,4,75.93521077,-159.9344228,235.8696335,5772,0.040864455,0.019381499
BACHBFVBHLGWSL-UHFFFAOYSA-N,CC(C(=O)OC)Oc1ccc(cc1)Oc1ccc(cc1Cl)Cl,Train,-3.82,341.1902,40,255.58,-1839.241131,-0.013321,6.6997,0.27874,0.25917,582.737915,-2.24586,-1.37379,-0.69303,0.80888,-2.24155,,,,,,,,,,,,,,36,24326,41287.5,47042.5,0.476804872,0.579141412,0.809626732,9,76.79689667,-153.890853,230.6877496,6090,0.031707673,0.006233513
BAPJBEWLBFYGME-UHFFFAOYSA-N,C=CC(=O)OC,Test,-0.22,86.0902,-75,64.338,-306.423742,-0.007018,3.1674,0.25723,0.31228,256.6029358,-1.20573,-0.2367,-0.64886,0.78759,-1.20573,,,,,,,,,,,,,,12,10550.5,14956,19370,0.54787234,0.73788153,0.75,3,-5.990967561,-88.52053577,82.52956821,1757,-0.050381637,0.014137069
BBXXLROWFHWFQY-UHFFFAOYSA-N,CCCCc1c(C)nc(NCC)[nH]c1=O,Train,-3.02497,209.2906,160,207.558,-669.926312,-0.016933,6.611,0.28822,0.24251,473.5541382,-0.72107,-2.45396,-0.72107,0.64934,-2.58612,,,,,,,,,,,,,,34,19721,31315.5,39174.5,0.415092888,0.5694167,0.743434603,2,55.3667609,-23.56050291,78.92726381,8141,0.009695033,0.049964546
BCCOBQSFUDVTJQ-UHFFFAOYSA-N,C1(C(C(C1(F)F)(F)F)(F)F)(F)F,Train,-3.92,200.0312,-41.4,83.533,-951.136485,-0.001981,0.0008,0.25579,0.38042,279.024231,0,2.67316,-0.33506,0.6683,-2.67315,,,,,,,,,,,,,,12,15641.5,15643.5,16173,0.888888889,0.888888971,0.991769604,6,54.38935176,0,54.38935176,309,0.037890771,0.013087078
BCMCBBGGLRIHSE-UHFFFAOYSA-N,c1ccc2c(c1)nco2,Train,-1.16,119.1226,29.5,91.656,-399.668727,-0.006248,1.943,0.27584,0.27727,277.8566895,-0.46927,-0.31303,-0.50852,0.36165,-0.97779,,,,,,,,,,,,,,14,12418.5,14854.5,23213,0.435643564,0.511627907,0.921553273,4,31.08408962,-53.17238113,84.25647075,1949,0.026542611,0.004113323
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,Test,0.62,60.0956,-127,43.244,-194.285538,-0.006252,2.184,0.32008,0.30271,231.9210052,-0.81274,-1.30471,-0.81274,0.51182,-0.81274,,,,,,,,,,,,,,12,10504,14399,14870,0.587570637,0.700143519,0.904347813,2,-15.44044801,-62.95287038,47.51242237,1420,-0.044333007,0.013765239
BFCFYVKQTRLZHA-UHFFFAOYSA-N,c1ccc(c(c1)Cl)[N+](=O)[O-],Train,-2.55,157.5561,32.5,112.458,-896.301745,-0.009237,7.0183,0.21258,0.3061,303.1655273,-0.78275,-0.86527,-0.39807,0.50298,-0.23393,,,,,,,,,,,,,,14,14277,15957.5,25672.5,0.535353535,0.586206889,0.885863071,2,36.41843096,-140.3546156,176.7730466,4478,0.039386336,0.010904965
BGNCCUHEGHNNAP-UHFFFAOYSA-N,C1CS(=O)(=O)c2c(cc(s2)S(=O)(=O)N)C1=O,Train,-3.018,281.316,242.5,171.384,-1896.192711,-0.02695,3.3661,0.20693,0.31803,422.8489685,-4.37541,-2.04797,-1.11878,2.31107,-0.37723,,,,,,,,,,,,,,23,19319.5,26085.5,34321.5,0.54003796,0.750694787,0.840895218,6,121.8141155,-250.2925994,372.1067149,7498,0.04916864,0.018861076
BMLIZLVNXIYGCK-UHFFFAOYSA-N,CN(C)C(=O)Nc1ccc(cc1)Cl,Train,-2.91256,198.6517,173,157.931,-994.407452,-0.012488,8.087,0.29475,0.24745,399.4962158,-0.73094,-1.0704,-0.73094,0.82629,-1.91777,,,,,,,,,,,,,,24,13478.5,24961,35396,0.382419863,0.546964949,0.673120699,2,73.99189572,-180.2345377,254.2264335,5984,0.042484364,0.015170983
BNUHAJGCKIQFGE-UHFFFAOYSA-N,COc1ccc(cc1)[N+](=O)[O-],Train,-2.41,153.1372,52,118.585,-551.210332,-0.011521,8.6502,0.22162,0.28538,327.4183044,-1.38531,-0.91058,-0.52567,0.49488,-0.89043,,,,,,,,,,,,,,18,12136,19120.5,28285.5,0.422131148,0.634724988,0.647118406,3,52.02709031,-161.9024054,213.9294957,4421,0.042383656,0.010277466
BOJWTAQWPVBIPG-UHFFFAOYSA-N,c1cc(c(cc1C(=O)O)[N+](=O)[O-])F,Test,-1.579,185.1113,123.5,119.572,-724.515276,-0.019284,2.776,0.19113,0.33096,333.4155579,-2.10651,0.52543,-0.70973,0.81817,-1.91586,,,,,,,,,,,,,,17,14237.5,17937.5,29612.5,0.430223333,0.513666223,0.904623768,3,150.0140383,-165.6765526,315.6905909,6684,0.047230789,0.020235622
BRBKOPJOKNSWSG-UHFFFAOYSA-N,c1cc(ccc1N)S(=O)(=O)N=C(N)N,Train,-1.98497,214.2416,191.5,162.746,-1040.273424,-0.029212,10.497,0.2913,0.24817,398.3703003,-2.00966,-0.55127,-1.01556,2.31448,-3.16506,,,,,,,,,,,,,,24,20724,26221.5,29962.5,0.615096773,0.857242336,0.98171253,3,-47.34894109,-186.1104164,138.7614753,8975,-0.020161775,0.066116893
BRLQWZUYTZBJKN-UHFFFAOYSA-N,C(C1CO1)Cl,Test,-0.15,92.5249,-57,70.116,-652.669972,-0.00646,0.7987,0.30919,0.31783,240.6867828,-0.57705,-0.58585,-0.57705,0.27651,-0.68302,,,,,,,,,,,,,,10,12223,15092.5,16066,0.73218965,0.886948868,0.996474002,3,64.54418143,-54.26727128,118.8114527,3970,0.029927318,0.00491415
BRPOVUNVTUCYNN-UHFFFAOYSA-N,Fc1c(N2C(CC)C(N)C2)cc2n(C3CC3)cc(C(=O)O)c(=O)c2c1,Train,-3.912,345.3727,236.5,253.896,-1187.462357,-0.028576,16.6448,0.24808,0.25621,566.1650391,-2.13156,-1.42769,-0.92846,0.80668,-4.25206,,,,,,,,,,,,,,45,25014,33619.5,53928,0.477905476,0.671866045,0.689218773,4,306.0486534,-350.9456763,656.9943296,15213,0.043186375,0.01412662
BRUZQRBVNRKLJG-UHFFFAOYSA-N,CC(C)COC(=O)N,Train,-0.3,117.1474,67,111.106,-402.284306,-0.010362,3.1049,0.3158,0.30804,311.8646545,-1.29354,-0.88054,-0.88546,0.92064,-2.179,,,,,,,,,,,,,,19,14418.5,20126.5,23259,0.59621112,0.677854648,0.890770165,3,-13.17101929,-101.1902607,88.01924138,1952,-0.051641987,0.017701996
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,Train,0.43,74.1224,-115,77.22,-233.578736,-0.00594,2.3986,0.32102,0.2993,255.5167847,-0.81342,-1.83202,-0.81342,0.50859,-0.81342,,,,,,,,,,,,,,15,11965.5,16570.5,18472,0.769084688,0.859040088,0.875826515,2,-11.60726968,-63.1998956,51.59262592,1755,0.029397508,0.01299582
BTJIUGUIPKRLHP-UHFFFAOYSA-N,c1cc(ccc1[N+](=O)[O-])O,Train,-0.74,139.1104,112.5,76.706,-511.933434,-0.013917,7.6814,0.21855,0.29282,295.6150818,-1.55085,-0.57995,-0.69591,0.53354,-1.05498,,,,,,,,,,,,,,15,11271.5,15777,25741,0.412322275,0.556962025,0.742662664,3,35.60937694,-153.957374,189.5667509,3122,-0.049313701,0.014225583
BUNFNRVLMKHKIT-UHFFFAOYSA-N,CC(=O)Nc1ccccc1[N+](=O)[O-],Test,-1.91,180.1628,92,119.881,-644.68777,-0.010125,2.0735,0.20302,0.28255,358.5602417,-1.50582,-0.73504,-0.77065,0.701,-1.63447,,,,,,,,,,,,,,21,15381,18224,32143,0.455507638,0.522190784,0.906696387,4,35.73142965,-143.2207404,178.95217,3355,0.028465485,0.006388869
BWXSXZAIQQSFPW-UHFFFAOYSA-N,CCC1(CC)c2ccc(cc2C(=O)O1)[N+](=O)[O-],Test,-3.656,235.239,103.5,186.169,-820.538272,-0.016472,9.364,0.2016,0.32159,431.7964783,-1.96826,-1.90272,-0.69934,0.81689,-1.46447,,,,,,,,,,,,,,30,24973.5,29553,32136.5,0.773116245,0.830478744,0.99609383,3,121.4852383,-225.1829034,346.6681417,9125,0.037991029,0.013473183
BYEVBITUADOIGY-UHFFFAOYSA-N,CCCCCCCCC(=O)OCC,Train,-3.8,186.2936,-44,156.728,-582.658498,-0.007604,2.7471,0.31311,0.30086,476.4190369,-1.22588,-4.04832,-0.7183,0.83343,-1.22588,,,,,,,,,,,,,,35,19584,33267.5,37042,0.436744043,0.602469169,0.706185567,6,-54.69551651,-91.70551118,37.00999466,1747,-0.050409004,0.014599743
BZKPWHYZMXOIDC-UHFFFAOYSA-N,CC(=O)Nc1nnc(s1)S(=O)(=O)N,Train,-2.43058,222.2364,258.25,139.851,-1396.972678,-0.0255,7.649,0.24177,0.30081,381.27771,-2.54125,-0.15699,-1.12147,2.29648,-2.06512,,,,,,,,,,,,,,19,14638,24620.5,30216.5,0.490421456,0.575562874,0.830163754,4,53.64460993,-274.1520507,327.7966606,4751,-0.049317125,0.013996863
BZLVMXJERCGZMT-UHFFFAOYSA-N,CC(C)(C)OC,Train,-0.24,88.1492,-109,75.591,-272.856802,-0.004003,1.9529,0.32394,0.2808,275.2158203,-0.63118,-2.1858,-0.70679,0.24718,-0.63118,,,,,,,,,,,,,,18,15888.5,17299,18225.5,0.737565404,0.859872611,0.970766141,3,-28.93391757,-49.12810371,20.19418614,1166,-0.04213388,0.012776869
CAQHPYSDQFDJAL-UHFFFAOYSA-N,c1ccc2c(c1)C=CC(=O)C2=NO,Test,-2.937,173.1708,109.5,124.613,-590.327678,-0.014372,6.7021,0.21041,0.27151,346.1882019,-1.16982,-0.86283,-0.60229,0.54139,-1.25269,,,,,,,,,,,,,,20,15082,17415,32081,0.379912664,0.431372549,0.876350314,3,21.49671332,-168.506743,190.0034563,4163,0.034278329,0.008281689
CDAWCLOXVUBKRW-UHFFFAOYSA-N,c1ccc(c(c1)N)O,Train,-0.72,109.1274,174,84.172,-362.754489,-0.006555,3.6683,0.30109,0.24986,276.9963989,-0.73825,-0.69883,-0.95485,0.52868,-1.6931,,,,,,,,,,,,,,15,12826,13906,22485.5,0.564971751,0.588235294,0.960227273,4,17.42663784,-91.17403576,108.6006736,2663,-0.03423734,0.01202752
CDOZDBSBBXSXLB-UHFFFAOYSA-N,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc12,Train,-2.145,312.472,58.75,242.747,-1245.838842,-0.007558,2.4948,0.29462,0.22036,544.8123169,0,-5.11091,-0.71222,0.3214,-0.71999,,,,,,,,,,,,,,46,32867,37648,43096.5,0.640593407,0.722951646,0.903352362,7,-14.70638152,-102.8089873,88.10260574,3341,-0.025130918,0.003214359
CDVNZMKTJIBBBV-UHFFFAOYSA-N,Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,Train,-2.6,226.1452,205.5,133.202,-869.066747,-0.022044,3.8954,0.17983,0.33998,386.506012,-2.83597,-0.15331,-0.71892,0.82593,-1.82414,,,,,,,,,,,,,,22,19690.5,19975.5,33518.5,0.556790413,0.611074251,0.922258734,4,220.3295173,-158.2296417,378.5591591,7837,0.048304091,0.024161271
CERQOIWHTDAKMF-UHFFFAOYSA-N,C=C(C)C(=O)O,Test,0.01,86.0902,16,67.803,-306.432942,-0.01304,6.3215,0.25473,0.31221,245.2653961,-1.36445,-0.43969,-0.74049,0.8036,-1.36445,,,,,,,,,,,,,,12,12073.5,12113.5,18938,0.6375,0.662337662,0.970242307,2,40.61307408,-148.6038227,189.2168967,4456,0.042463397,0.015954294
CFBYEGUGFPZCNF-UHFFFAOYSA-N,COc1ccccc1[N+](=O)[O-],Test,-1.96,153.1372,9.75,100.79,-551.1989,-0.012273,8.207,0.22699,0.28028,325.3274231,-1.34221,-0.92778,-0.51752,0.49581,-0.8464,,,,,,,,,,,,,,18,16018.5,16450.5,27786.5,0.503325658,0.542362277,0.961672487,2,20.55652246,-196.3871334,216.9436558,5738,0.037808236,0.010042611
CHMBIJAOCISYEW-UHFFFAOYSA-N,CC(=O)Nc1ccc(cc1)N,Train,-0.98,150.1798,165,107.155,-495.521914,-0.016848,5.6012,0.30332,0.22417,350.076355,-0.70238,-0.9008,-0.87824,0.67968,-2.1983,,,,,,,,,,,,,,21,12185,21145,30829.5,0.397683398,0.618415529,0.624487185,3,9.985973358,-194.368634,204.3546073,4843,0.041591389,0.016761611
CHVJITGCYZJHLR-UHFFFAOYSA-N,C1=CC=CCC=C1,Train,-2.15,92.1402,-80,90.2,-271.426029,-0.003084,0.4769,0.27486,0.24877,269.8972168,0,-1.99712,-0.54684,0.26255,0,,,,,,,,,,,,,,15,13841,14014,21104,0.670588235,0.689399819,0.988235294,5,-16.10035918,-29.98783997,13.88748079,715,-0.027189874,0.004436592
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,Train,0.239374,176.1256,192,110.782,-684.699471,-0.022212,7.1391,0.279,0.26783,339.4249268,-4.20438,1.09037,-0.79954,0.7545,-4.20438,,,,,,,,,,,,,,20,16379.5,22286.5,27336.5,0.608846132,0.802115133,0.806741156,5,66.64781905,-203.780506,270.4283251,4849,0.050876034,0.021196485
CIWBSHSKHKDKBQ-UHFFFAOYSA-N,C(C(C1C(=C(C(=O)O1)O)O)O)O,Train,-0.805,176.1256,169.5,107.468,-684.697557,-0.021436,2.525,0.27411,0.27129,339.2073364,-4.18997,1.09366,-0.79882,0.752,-4.18997,,,,,,,,,,,,,,20,15679,21035.5,28197.5,0.551211192,0.735930719,0.916189027,6,66.06922821,-169.1140756,235.1833038,2592,0.045616519,0.021197646
CJHXCRMKMMBYJQ-UHFFFAOYSA-N,CCCCc1c(C)nc(nc1O)N(C)C,Train,-2.24,209.2906,102,170.302,-669.897746,-0.010757,2.952,0.30012,0.23237,453.3644409,-0.70984,-2.54289,-0.71971,0.6041,-2.35322,,,,,,,,,,,,,,34,22751.5,28542.5,36678,0.569291036,0.709792801,0.93649841,3,-24.42354536,-149.2731688,124.8496234,3669,0.031618921,0.014162933
CKRZKMFTZCFYGB-UHFFFAOYSA-N,c1ccc(cc1)NO,Train,-0.74,109.1274,83.5,87.961,-362.697681,-0.008454,1.1969,0.30418,0.2453,281.6398926,-0.63471,-1.18445,-0.63471,0.52231,-1.01118,,,,,,,,,,,,,,15,12023.5,15774,23321,0.452596981,0.55485014,0.869772606,6,5.076924054,-83.08412693,88.16105098,1686,-0.031814368,0.007576901
CMSMOCZEIVJLDB-UHFFFAOYSA-N,C1CNP(=O)(N(CCCl)CCCl)OC1,Train,-0.815,261.0875,51.25,183.918,-1797.386166,-0.017992,7.0076,0.30162,0.28523,443.2096558,-2.02569,-2.3484,-1.14783,2.51366,-1.71245,,,,,,,,,,,,,,29,23164.5,29064,34988.5,0.553610315,0.743061767,0.973153638,3,141.5125035,-201.5178155,343.030319,9067,0.037832835,0.011210742
CMVQZRLQEOAYSW-UHFFFAOYSA-N,c1cc(c(c(c1)[N+](=O)[O-])Cl)Cl,Train,-3.48,192.0012,61.5,117.963,-1355.90129,-0.008773,6.1528,0.20807,0.30667,324.2919312,-0.76214,-0.701,-0.38671,0.50422,-0.14101,,,,,,,,,,,,,,14,15818,17784.5,27726.5,0.511737089,0.543300114,0.906413419,5,57.28037399,-117.6845379,174.9649119,4173,0.040795501,0.012906718
COLNVLDHVKWLRT-UHFFFAOYSA-N,O=C(O)C(N)Cc1ccccc1,Train,-0.74473,165.1914,266.5,116.732,-554.673367,-0.014913,4.5331,0.28224,0.28548,356.9197998,-1.36102,-1.14205,-0.91766,0.80849,-2.27868,,,,,,,,,,,,,,23,17261,25283,26662.5,0.607670972,0.635184639,0.945337498,3,71.053484,-146.233482,217.286966,6435,0.033766428,0.011815726
CPNGPNLZQNNVQM-UHFFFAOYSA-N,c1cnc2c(cncn2)n1,Train,0.02,132.1244,139.5,92.514,-449.995454,-0.011478,3.8667,0.20554,0.29044,281.3888855,0,0.79968,-0.49531,0.35044,-1.8049,,,,,,,,,,,,,,14,11139,14897,23847.5,0.432835821,0.571428571,0.761966804,5,21.85558932,-121.8618463,143.7174356,3958,0.035423448,0.011629853
CQRYARSYNCAZFO-UHFFFAOYSA-N,c1ccc(c(c1)CO)O,Train,-0.29,124.139,84.25,106.736,-421.918629,-0.01047,3.954,0.29148,0.25008,297.1837769,-1.55718,-0.98037,-0.80858,0.53283,-1.55718,,,,,,,,,,,,,,17,13272,16829,24999.5,0.526836677,0.663589211,0.992277984,3,11.76850462,-127.5122634,139.2807681,3708,-0.034388421,0.010390552
CULUWZNBISUWAS-UHFFFAOYSA-N,c1ccc(cc1)CNC(=O)Cn1ccnc1[N+](=O)[O-],Train,-2.81,260.2518,190.5,199.805,-908.953118,-0.024744,10.9473,0.20113,0.28343,472.7465515,-1.50857,-0.84437,-0.68469,0.68034,-2.50743,,,,,,,,,,,,,,31,18450,30160,42753.5,0.433718124,0.576388807,0.717251207,3,44.08857719,-324.9455465,369.0341237,7650,0.048239755,0.021772704
