StdInChIKey,SMILES,Train_test,LogS,MW,MP,Volume,G_solv,DeltaG_sol,LsoluHsolv,LsolvHsolu,SASA,Most_neg,Most_pos,O_charges,C_charges,Het_charges,solv_dip,,,,,,,,,,,,,,,,,,Asp1,Asp2,Asp3,No_regions,Tot_charge,Neg_charge,Pos_charge,Big_area,Big_charge,Big_std,,HF_E0_gas,HF_E0_solv,HF_DeltaE0_sol,HF_G_gas,HF_G_solv,HF_DeltaG_sol
AHJKRLASYNVKDZ-UHFFFAOYSA-N,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Train,-7.199998,320.045,109.25,247.86,-2380.175287,-0.009948,0.2671,0.27776,497.0978699,-0.3134,0.29032,0,-2.59065,-0.08827,0.3645,,,,,,,,,,,,,,,,,,0.538720539,0.695652214,0.845115003,3,221.7409596,-11.49582062,233.2367803,3183,0.03447012,0.008440697,,-2347.795779,-2347.80221,-0.00643079,-2347.608056,-2347.614409,-0.006353
AIKKULXCBHRFOS-UHFFFAOYSA-N,S=P(SCC(=O)N(C=O)C)(OC)OC,Train,-2,257.2589,25.5,187.646,-1729.203515,-0.01806,0.25931,0.26748,452.1102905,-0.8687,1.66285,-2.96326,-0.5392,-2.44008,3.0386,,,,,,,,,,,,,,,,,,0.580349957,0.629090938,0.794716739,4,-50.44700839,-287.7081867,237.2611783,7647,-0.037623668,0.009912398,,-1703.725968,-1703.728411,-0.00244363,-1703.543913,-1703.547375,-0.003462
AIVXUNRQBRKFJO-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2C(=O)CCSc2c1,Train,-3.494,249.3172,213.5,159.168,-1745.815732,-0.020037,0.21892,0.27005,399.8743896,-1.11956,2.30716,-2.52427,-1.89894,-0.43318,6.2892,,,,,,,,,,,,,,,,,,0.556952477,0.707484142,0.86664503,5,71.10069486,-224.1704648,295.2711597,3968,0.039062073,0.009108922,,-1720.325386,-1720.343914,-0.01852781,-1720.203763,-1720.220806,-0.017043
AKUJBENLRBOFTD-UHFFFAOYSA-N,FC12C3(C)C(=CC(=O)C=C3)CCC1C1C(C)(C(O)(C(=O)COC(=O)C)C(C)C1)CC2O,Train,-4.9,434.5037,247.5,320.451,-1483.989265,-0.020765,0.25398,0.26331,654.8651123,-0.78721,0.82995,-3.98881,-4.09394,-4.40372,6.2891,,,,,,,,,,,,,,,,,,0.471358647,0.610310115,0.820682971,7,202.7780196,-297.6746078,500.4526274,13571,0.036393796,0.016424308,,-1456.934401,-1456.935688,-0.00128762,-1456.371701,-1456.371793,-9.2E-05
AMEKQAFGQBKLKX-UHFFFAOYSA-N,O=C(Nc1ccccc1)C1=C(OCCS1(=O)=O)C,Train,-2.43,267.299,120,162.031,-1218.7325,-0.019717,0.25978,0.25117,464.4553833,-0.97683,2.15043,-3.12288,-2.11938,-1.59607,7.3455,,,,,,,,,,,,,,,,,,0.44334417,0.605593245,0.721429594,4,-22.41669847,-284.610974,262.1942755,6944,-0.040986603,0.014630576,,-1198.331785,-1198.350413,-0.01862819,-1198.098366,-1198.115362,-0.016996
AMMPGYPPRLWMLW-UHFFFAOYSA-N,O=[N+]([O-])c1cc(N)c(OCC)cc1,Test,-3.211,182.1786,96.5,131.07,-645.850713,-0.014677,0.22839,0.24934,378.9792175,-0.86483,0.49341,-1.41035,-1.11135,-1.78177,9.9868,,,,,,,,,,,,,,,,,,0.387218045,0.560439571,0.687499993,3,92.66351637,-197.6693059,290.3328222,7542,0.038495468,0.012174682,,-633.9122186,-633.9163917,-0.004173067,-633.741893,-633.746286,-0.004393
AMQJEAYHLZJPGS-UHFFFAOYSA-N,OCCCCC,Train,-0.6,88.1492,-78.45,91.172,-272.862556,-0.006475,0.3188,0.30224,294.401123,-0.81241,0.51176,-0.81241,-2.22606,-0.81241,2.176,,,,,,,,,,,,,,,,,,0.45021645,0.480258549,0.896551724,2,-9.954631169,-60.1902282,50.23559703,1360,-0.044257521,0.014007877,,-267.8698981,-267.8724751,-0.002576957,-267.703944,-267.706452,-0.002508
AMRQXHFXNZFDCH-UHFFFAOYSA-N,O=C(OC(C(=O)NCC)C)Nc1ccccc1,Train,-1.83,236.27,119,158.794,-801.955526,-0.014953,0.29101,0.26279,484.9683228,-0.70903,0.94647,-1.96916,-1.20178,-3.25671,4.2351,,,,,,,,,,,,,,,,,,0.489473662,0.551213703,0.860797941,5,11.03975578,-138.3920388,149.4317946,2848,0.035304673,0.015674043,,-787.1773786,-787.1794518,-0.002073204,-786.902732,-786.906766,-0.004034
ANJTVLIZGCUXLD-UHFFFAOYSA-N,O=c1n2c(ccc1)C1CNCC(C2)C1,Train,0.36,190.2444,155,159.491,-612.156829,-0.015527,0.27566,0.23822,372.1828003,-0.73232,0.61383,-0.73232,-1.88002,-1.87584,7.4772,,,,,,,,,,,,,,,,,,0.703319449,0.769790075,0.916109314,3,73.19520481,-183.0219272,256.217132,7151,0.035829553,0.009603652,,-600.9557637,-600.9668949,-0.011131153,-600.709645,-600.719369,-0.009724
APSMUYYLXZULMS-UHFFFAOYSA-N,Brc1cc2c(cc1)cccc2,Train,-4.4,207.0693,54,137.357,-2956.93626,-0.004527,0.25971,0.25576,342.4750671,-0.25819,0.26724,0,-1.85373,0.04734,2.6932,,,,,,,,,,,,,,,,,,0.376518219,0.50273224,0.720404001,3,82.85223769,-17.76573263,100.6179703,3683,0.027319568,0.004015043,,-2922.778996,-2922.77735,0.00164565,-2922.654663,-2922.653025,0.001638
APTGDJCKNMNFID-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CC(O)Cc2c1,Train,-1.539,283.3318,174,174.328,-1897.369616,-0.026842,0.23063,0.30663,426.3872681,-1.11835,2.30964,-4.63938,-2.48361,-0.69113,6.027,,,,,,,,,,,,,,,,,,0.54804091,0.706535622,0.892302923,4,144.3798909,-261.2062784,405.5861693,7950,0.051017128,0.01743028,,-1868.805981,-1868.844423,-0.03844241,-1868.652077,-1868.689666,-0.037589
AQCHWTWZEMGIFD-UHFFFAOYSA-N,Clc1c(S(=O)(=O)N)cc2C(=O)N(c3c(C)cccc3)C(C)Nc2c1,Train,-3.78,365.8337,256,252.408,-1867.413716,-0.026365,0.25093,0.26793,560.8483887,-1.1218,2.30194,-2.62079,-2.2107,-2.51864,12.9006,,,,,,,,,,,,,,,,,,0.481459784,0.564746842,0.919130351,3,34.4848535,-396.869941,431.3547945,8413,0.043053133,0.021291946,,-1837.922434,-1837.94396,-0.02152589,-1837.620527,-1837.641882,-0.021355
AQIXAKUUQRKLND-UHFFFAOYSA-N,S(CCN/C(=N/C)/NC#N)Cc1c(C)[nH]cn1,Train,-1.40229,252.3366,141.5,164.954,-1117.197313,-0.026511,0.29441,0.24528,521.8492432,-0.71806,0.60541,0,-1.29718,-3.37648,4.3285,,,,,,,,,,,,,,,,,,0.426581386,0.510362575,0.895454578,5,7.323786256,-323.4483598,330.7721461,4627,-0.045894956,0.016780085,,-1098.940209,-1098.956947,-0.01673854,-1098.670345,-1098.690287,-0.019942
AQIXEPGDORPWBJ-UHFFFAOYSA-N,OC(CC)CC,Train,-0.24,88.1492,-69.075,98.286,-272.86613,-0.005641,0.32078,0.29889,285.1423645,-0.81195,0.50875,-0.81195,-2.2963,-0.81195,2.3017,,,,,,,,,,,,,,,,,,0.585714286,0.691089247,0.932917319,3,-8.782312789,-54.4988994,45.71658661,1336,0.031963492,0.014092515,,-267.871946,-267.8740256,-0.002079651,-267.705441,-267.70722,-0.001779
ARCGXLSVLAOJQL-UHFFFAOYSA-N,O=C(O)c1c(C(=O)O)ccc(C(=O)O)c1,Train,-0.397,210.1428,231,132.038,-797.89238,-0.026824,0.19662,0.32625,367.5466919,-0.71834,0.84134,-3.99,1.53864,-3.99,5.6869,,,,,,,,,,,,,,,,,,0.476506205,0.578635568,0.828848246,4,188.190004,-223.5489447,411.7389487,7419,0.055497904,0.026463096,,-783.1225236,-783.1445668,-0.022043175,-782.99553,-783.018201,-0.022671
ARGDYOIRHYLIMT-UHFFFAOYSA-N,ClN(Cl)S(=O)(=O)c1ccc(C)cc1,Train,-3.509,240.1038,82,154.307,-1794.524362,-0.010677,0.21154,0.30491,393.8843079,-0.91435,2.24726,-1.82781,-1.90355,0.03484,8.0259,,,,,,,,,,,,,,,,,,0.559865282,0.646485615,0.99073568,4,37.37037201,-191.2829447,228.6533167,6209,0.03581152,0.007523793,,-1769.227433,-1769.236659,-0.00922603,-1769.111836,-1769.121352,-0.009516
ARSRBNBHOADGJU-UHFFFAOYSA-N,Cc1c2c(c(C)c3c1cccc3)ccc1c2cccc1,Train,-7.020001,256.3464,122.5,186.755,-771.564286,-0.006156,0.25084,0.22309,471.7829895,-0.71619,0.25777,0,-4.02103,0,0.2838,,,,,,,,,,,,,,,,,,0.383660528,0.544835145,0.681509805,11,-35.87813368,-104.5293853,68.65125167,2230,-0.025175862,0.002244666,,-757.4086316,-757.404995,0.00363666,-757.10203,-757.098585,0.003445
ATROHALUCMTWTB-UHFFFAOYSA-N,S=P(ON=C(C#N)c1ccccc1)(OCC)OCC,Train,-4.86,298.2959,6.1,241.737,-1540.860872,-0.013634,0.22129,0.2764,555.7894287,-0.8711,2.09625,-2.39818,-2.45144,-1.31325,6.1952,,,,,,,,,,,,,,,,,,0.548790715,0.742031711,0.977242703,4,-48.33294444,-273.7126506,225.3797062,6835,-0.040045743,0.011591591,,-1516.587236,-1516.585822,0.00141447,-1516.32891,-1516.327976,0.000934
AUKRYONWZHRJRE-UHFFFAOYSA-N,Oc1c2c(cc3c1cccc3)cccc2,Train,-4.73,194.2324,152,136.512,-614.613927,-0.008039,0.24887,0.21886,382.6009216,-0.71324,0.52565,-0.71324,-2.0737,-0.71324,1.8862,,,,,,,,,,,,,,,,,,0.333333333,0.473118275,0.711538462,4,19.3923362,-93.72211643,113.1144526,3635,-0.025783251,0.003782676,,-603.3040817,-603.3054623,-0.001380616,-603.11167,-603.113167,-0.001497
AUNGANRZJHBGPY-UHFFFAOYSA-N,O=c1nc2n(CC(O)C(O)C(O)CO)c3c(nc2c(=O)[nH]1)cc(C)c(C)c3,Train,-3.68,376.3682,290,225.934,-1329.990452,-0.032527,0.19394,0.27638,598.2529907,-0.82502,0.81015,-4.52739,0.1427,-6.52439,11.4633,,,,,,,,,,,,,,,,,,0.515243136,0.577592173,0.972228466,8,203.2532251,-357.9950287,561.2482538,11335,0.040437495,0.011172156,,-1305.535943,-1305.55897,-0.02302656,-1305.15355,-1305.175905,-0.022355
AUZONCFQVSMFAP-UHFFFAOYSA-N,S(SC(=S)N(CC)CC)C(=S)N(CC)CC,Test,-4.71725,296.5214,70,197.962,-2095.161311,-0.014566,0.283,0.23524,531.8052979,-0.70341,0.2651,0,-4.00858,-1.0484,2.7832,,,,,,,,,,,,,,,,,,0.550142454,0.647887324,0.87692797,3,-85.03514933,-324.8103443,239.7751949,6830,-0.047556419,0.013727665,,-2065.879851,-2065.875752,0.00409932,-2065.572037,-2065.568472,0.003565
AVQQQNCBBIEMEU-UHFFFAOYSA-N,O=C(N(C)C)N(C)C,Train,0.94,116.1626,-1,94.676,-382.372214,-0.009835,0.31899,0.26108,310.6023865,-0.7369,0.83077,-0.7369,-1.06616,-1.8022,5.2603,,,,,,,,,,,,,,,,,,0.615583022,0.785582346,0.807995755,2,0.650307004,-135.0145057,135.6648127,4969,0.027302236,0.003787634,,-375.3275985,-375.3259914,0.001607093,-375.152763,-375.150434,0.002329
AVZVLGDSSQKRGL-UHFFFAOYSA-N,O=C(COC(=O)c1ccccc1)N1CCOCC1,Train,-1.773,249.2658,103.5,189.941,-859.898902,-0.018307,0.26264,0.27661,479.6381226,-0.68649,0.82515,-2.48603,-0.82858,-2.97951,4.1655,,,,,,,,,,,,,,,,,,0.462928555,0.482786526,0.966781348,4,-31.80450574,-261.6014243,229.7969186,5269,0.035710246,0.011323689,,-844.1170726,-844.1233528,-0.006280209,-843.843115,-843.849472,-0.006357
AWMVMTVKBNGEAK-UHFFFAOYSA-N,c1(C2OC2)ccccc1,Train,-1.6,120.1506,-37,118.021,-384.761515,-0.006415,0.29533,0.27453,303.1288757,-0.58164,0.25364,-0.58164,-1.38709,-0.58164,2.6171,,,,,,,,,,,,,,,,,,0.535318286,0.712151822,0.714755765,3,3.402133248,-85.4076428,88.80977605,3473,0.025571487,0.003529519,,-377.6843054,-377.6841532,0.000152145,-377.554986,-377.554483,0.000503
AXGUBXVWZBFQGA-UHFFFAOYSA-N,Clc1ccc(C(O)(C(=O)OC(C)C)c2ccc(Cl)cc2)cc1,Train,-4.53,339.2176,73,223.456,-1803.326167,-0.010725,0.27719,0.27646,554.1115112,-0.77449,0.83799,-1.96959,-2.42134,-1.99669,4.6766,,,,,,,,,,,,,,,,,,0.655416321,0.749772035,0.792255747,9,144.9706016,-84.95335623,229.9239579,6531,0.029607806,0.005413296,,-1775.882925,-1775.88478,-0.00185439,-1775.589787,-1775.592281,-0.002494
AYFVYJQAPQTCCC-UHFFFAOYSA-N,O=C(O)C(N)C(O)C,Train,-0.09,119.12,244,96.62,-438.197785,-0.017725,0.30085,0.28965,283.2250671,-0.92194,0.80988,-2.1952,-0.05648,-3.11714,5.9674,,,,,,,,,,,,,,,,,,0.707164203,0.777924733,0.923640369,4,75.93521077,-159.9344228,235.8696335,5772,0.040864455,0.019381499,,-430.1066515,-430.1218765,-0.015224978,-429.97471,-429.989577,-0.014867
BACHBFVBHLGWSL-UHFFFAOYSA-N,Clc1c(Oc2ccc(OC(C(=O)OC)C)cc2)ccc(Cl)c1,Train,-3.82,341.1902,40,255.58,-1839.241131,-0.013321,0.27874,0.25917,582.737915,-0.69303,0.80888,-2.24586,-1.37379,-2.24155,6.6997,,,,,,,,,,,,,,,,,,0.476804872,0.579141412,0.809626732,9,76.79689667,-153.890853,230.6877496,6090,0.031707673,0.006233513,,-1811.149417,-1811.15309,-0.00367305,-1810.883006,-1810.889848,-0.006842
BAPJBEWLBFYGME-UHFFFAOYSA-N,O=C(OC)C=C,Train,-0.22,86.0902,-75,64.338,-306.423742,-0.007018,0.25723,0.31228,256.6029358,-0.64886,0.78759,-1.20573,-0.2367,-1.20573,3.1674,,,,,,,,,,,,,,,,,,0.54787234,0.73788153,0.75,3,-5.990967561,-88.52053577,82.52956821,1757,-0.050381637,0.014137069,,-300.7423517,-300.7401816,0.0021701,-300.661973,-300.66091,0.001063
BBEAQIROQSPTKN-UHFFFAOYSA-N,c12c3c4ccc1cccc2ccc3ccc4,Train,-6.172998,202.255,150,159.958,-615.625747,-0.005496,0.25305,0.23076,387.6643066,-0.24391,0.25476,0,-2.52143,0,0,,,,,,,,,,,,,,,,,,0.342412473,0.423076923,0.923313804,4,1.589765126,-86.54789029,88.13765541,1932,-0.023071952,0.001329584,,-604.3199841,-604.3171734,0.002810706,-604.116102,-604.112725,0.003377
BBXXLROWFHWFQY-UHFFFAOYSA-N,O=c1c(CCCC)c(C)nc(NCC)[nH]1,Train,-3.02497,209.2906,160,207.558,-669.926312,-0.016933,0.28822,0.24251,473.5541382,-0.72107,0.64934,-0.72107,-2.45396,-2.58612,6.611,,,,,,,,,,,,,,,,,,0.415092888,0.5694167,0.743434603,2,55.3667609,-23.56050291,78.92726381,8141,0.009695033,0.049964546,,-657.6113529,-657.6189526,-0.007599604,-657.304698,-657.312233,-0.007535
BCCOBQSFUDVTJQ-UHFFFAOYSA-N,FC1(F)C(F)(F)C(F)(F)C1(F)F,Train,-3.92,200.0312,-41.4,83.533,-951.136485,-0.001981,0.25579,0.38042,279.024231,-0.33506,0.6683,0,2.67316,-2.67315,0.0008,,,,,,,,,,,,,,,,,,0.888888889,0.888888971,0.991769604,6,54.38935176,0,54.38935176,309,0.037890771,0.013087078,,-933.9171224,-933.9120812,0.005041175,-933.899552,-933.895113,0.004439
BCMCBBGGLRIHSE-UHFFFAOYSA-N,o1c2c(nc1)cccc2,Train,-1.16,119.1226,29.5,91.656,-399.668727,-0.006248,0.27584,0.27727,277.8566895,-0.50852,0.36165,-0.46927,-0.31303,-0.97779,1.943,,,,,,,,,,,,,,,,,,0.435643564,0.511627907,0.921553273,4,31.08408962,-53.17238113,84.25647075,1949,0.026542611,0.004113323,,-392.3171429,-392.3206217,-0.003478798,-392.225366,-392.228987,-0.003621
BDERNNFJNOPAEC-UHFFFAOYSA-N,OCCC,Test,0.62,60.0956,-127,43.244,-194.285538,-0.006252,0.32008,0.30271,231.9210052,-0.81274,0.51182,-0.81274,-1.30471,-0.81274,2.184,,,,,,,,,,,,,,,,,,0.587570637,0.700143519,0.904347813,2,-15.44044801,-62.95287038,47.51242237,1420,-0.044333007,0.013765239,,-190.7101748,-190.7133171,-0.00314226,-190.608693,-190.611817,-0.003124
BFCFYVKQTRLZHA-UHFFFAOYSA-N,Clc1c([N+](=O)[O-])cccc1,Train,-2.55,157.5561,32.5,112.458,-896.301745,-0.009237,0.21258,0.3061,303.1655273,-0.39807,0.50298,-0.78275,-0.86527,-0.23393,7.0183,,,,,,,,,,,,,,,,,,0.535353535,0.586206889,0.885863071,2,36.41843096,-140.3546156,176.7730466,4478,0.039386336,0.010904965,,-882.581115,-882.5843295,-0.003214441,-882.50738,-882.5106,-0.00322
BFPYWIDHMRZLRN-UHFFFAOYSA-N,Oc1cc2c(cc1)C1C(C3C(C)(C(O)(C#C)CC3)CC1)CC2,Train,-4.3,296.4084,182.5,195.736,-926.638665,-0.012555,0.30265,0.24323,515.0608521,-0.76753,0.52245,-1.49958,-5.00525,-1.49958,4.1842,,,,,,,,,,,,,,,,,,0.506472513,0.515703256,0.954854796,8,-6.889986863,-137.9168003,131.0268134,2557,-0.031454097,0.008798155,,-909.7815407,-909.7865949,-0.005054242,-909.35503,-909.360091,-0.005061
BGHCVCJVXZWKCC-UHFFFAOYSA-N,C(CCCCCCC)CCCCCC,Train,-7.959992,198.391,5.8,222.351,-551.243732,-0.001793,0.33455,0.31565,561.4718628,-0.68816,0.23775,0,-6.93288,0,0,,,,,,,,,,,,,,,,,,0.229580574,0.246799947,0.905172414,0,0,0,0,0,0,0,,-541.2635588,-541.2567784,0.006780397,-540.80747,-540.801053,0.006417
BGNCCUHEGHNNAP-UHFFFAOYSA-N,S(=O)(=O)(N)c1sc2S(=O)(=O)CCC(=O)c2c1,Train,-3.018,281.316,242.5,171.384,-1896.192711,-0.02695,0.20693,0.31803,422.8489685,-1.11878,2.31107,-4.37541,-2.04797,-0.37723,3.3661,,,,,,,,,,,,,,,,,,0.54003796,0.750694787,0.840895218,6,121.8141155,-250.2925994,372.1067149,7498,0.04916864,0.018861076,,-1867.621952,-1867.658798,-0.0368462,-1867.493985,-1867.531392,-0.037407
BKIMMITUMNQMOS-UHFFFAOYSA-N,C(CCCC)CCCC,Train,-5.88,128.257,-53,114.201,-354.801842,-0.001228,0.33739,0.32413,402.8521729,-0.6881,0.23773,0,-4.62926,0,0.1021,,,,,,,,,,,,,,,,,,0.325,0.35,0.920353982,0,0,0,0,0,0,0,,-348.3644011,-348.3592829,0.005118225,-348.070739,-348.065687,0.005052
BMLIZLVNXIYGCK-UHFFFAOYSA-N,Clc1ccc(NC(=O)N(C)C)cc1,Train,-2.91256,198.6517,173,157.931,-994.407452,-0.012488,0.29475,0.24745,399.4962158,-0.73094,0.82629,-0.73094,-1.0704,-1.91777,8.087,,,,,,,,,,,,,,,,,,0.382419863,0.546964949,0.673120699,2,73.99189572,-180.2345377,254.2264335,5984,0.042484364,0.015170983,,-978.9328673,-978.9366317,-0.003764393,-978.750608,-978.754005,-0.003397
BNUHAJGCKIQFGE-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(OC)cc1,Train,-2.41,153.1372,52,118.585,-551.210332,-0.011521,0.22162,0.28538,327.4183044,-0.52567,0.49488,-1.38531,-0.91058,-0.89043,8.6502,,,,,,,,,,,,,,,,,,0.422131148,0.634724988,0.647118406,3,52.02709031,-161.9024054,213.9294957,4421,0.042383656,0.010277466,,-541.011522,-541.0131038,-0.001581863,-540.891024,-540.892467,-0.001443
BOCJQSFSGAZAPQ-UHFFFAOYSA-N,Clc1c2C(=O)c3c(C(=O)c2ccc1)cccc3,Train,-5.54,242.6611,160,128.468,-1148.266972,-0.011037,0.19912,0.29083,405.4375916,-0.58188,0.56668,-1.1518,-0.76326,-1.11829,1.9387,,,,,,,,,,,,,,,,,,0.327137546,0.446700508,0.708723183,6,4.285516049,-143.3174996,147.6030157,2253,0.031329832,0.006604423,,-1129.978109,-1129.979864,-0.00175585,-1129.820933,-1129.822581,-0.001648
BOJWTAQWPVBIPG-UHFFFAOYSA-N,Fc1c([N+](=O)[O-])cc(C(=O)O)cc1,Train,-1.579,185.1113,123.5,119.572,-724.515276,-0.019284,0.19113,0.33096,333.4155579,-0.70973,0.81817,-2.10651,0.52543,-1.91586,2.776,,,,,,,,,,,,,,,,,,0.430223333,0.513666223,0.904623768,3,150.0140383,-165.6765526,315.6905909,6684,0.047230789,0.020235622,,-711.1193696,-711.1290887,-0.009719101,-711.031981,-711.041678,-0.009697
BRBKOPJOKNSWSG-UHFFFAOYSA-N,S(=O)(=O)(N=C(N)N)c1ccc(N)cc1,Train,-1.98497,214.2416,191.5,162.746,-1040.273424,-0.029212,0.2913,0.24817,398.3703003,-1.01556,2.31448,-2.00966,-0.55127,-3.16506,10.497,,,,,,,,,,,,,,,,,,0.615096773,0.857242336,0.98171253,3,-47.34894109,-186.1104164,138.7614753,8975,-0.020161775,0.066116893,,-1023.052858,-1023.070147,-0.0172896,-1022.88647,-1022.905259,-0.018789
BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1OC1,Train,-0.15,92.5249,-57,70.116,-652.669972,-0.00646,0.30919,0.31783,240.6867828,-0.57705,0.27651,-0.57705,-0.58585,-0.68302,0.7987,,,,,,,,,,,,,,,,,,0.73218965,0.886948868,0.996474002,3,64.54418143,-54.26727128,118.8114527,3970,0.029927318,0.00491415,,-643.5108942,-643.5147155,-0.003821258,-643.449241,-643.45278,-0.003539
